date,cash,position_value,total_equity
2024-10-16,61150.54485420319,954620.1637173193,1015770.7085715225
2024-10-17,29136.33803813706,978024.7102321957,1007161.0482703327
2024-10-18,103056.5237298634,934402.5554021443,1037459.0791320077
2024-10-21,16567.186510388976,1024250.6052098474,1040817.7917202364
2024-10-22,28649.51527609863,1016073.6341444182,1044723.1494205168
2024-10-23,4691.775846556153,1043345.4445498803,1048037.2203964365
2024-10-24,266804.7109519545,771798.546498018,1038603.2574499724
2024-10-25,80610.10049703644,967926.9259955719,1048537.0264926084
2024-10-28,24829.71131773232,1027726.9968338354,1052556.7081515677
2024-10-29,46302.50440477135,999006.1446010952,1045308.6490058666
2024-10-30,91775.0791048524,953719.1723418657,1045494.2514467181
2024-10-31,100391.72521409787,962307.7479219849,1062699.4731360828
2024-11-01,36223.28607704245,1023425.0541371196,1059648.340214162
2024-11-04,40126.81347414333,1030762.242040235,1070889.0555143782
2024-11-05,18278.069261846395,1082466.1332311872,1100744.2024930336
2024-11-06,124305.10929742393,967904.4183426125,1092209.5276400363
2024-11-07,152764.45245988204,969747.9086130565,1122512.3610729387
2024-11-08,150031.01954105392,960780.3317126699,1110811.3512537237
2024-11-11,46171.034478756395,1077295.951325378,1123466.9858041343
2024-11-12,21748.140989834937,1101234.4369748195,1122982.5779646544
2024-11-13,83924.32266718679,1054479.3189888902,1138403.641656077
2024-11-14,166586.5040817723,948545.6081811803,1115132.1122629526
2024-11-15,96678.0391868535,1012985.8349608089,1109663.8741476624
2024-11-18,40799.31090889104,1060597.7958545522,1101397.1067634432
2024-11-19,21426.60166597661,1081615.7122115279,1103042.3138775046
2024-11-20,8248.080975007526,1104312.871918816,1112560.9528938234
2024-11-21,5189.633894587165,1110218.6084001625,1115408.2422947497
2024-11-22,44152.893912377505,1036751.9969446433,1080904.8908570209
2024-11-25,233862.87029881534,851187.5847413602,1085050.4550401755
2024-11-26,108626.75621721424,968625.2725162095,1077252.0287334237
2024-11-27,83590.6945921175,1006701.4167942193,1090292.1113863369
2024-11-28,71152.01075672728,1010023.7885860291,1081175.7993427564
2024-11-29,29322.579798739196,1062046.8780078036,1091369.4578065427
2024-12-02,59013.762201946585,1045823.9795382253,1104837.741740172
2024-12-03,44783.496670785804,1059000.8903908457,1103784.3870616315
2024-12-04,94249.11760195164,996149.6750370064,1090398.792638958
2024-12-05,37408.68649310575,1052764.2747097681,1090172.9612028738
2024-12-06,22816.384511809527,1080428.608828563,1103244.9933403726
2024-12-09,7218.74738321192,1092879.552762846,1100098.300146058
2024-12-10,39446.623858665036,1068997.0270916007,1108443.6509502658
2024-12-11,67130.61331531811,1041762.4791756755,1108893.0924909937
2024-12-12,80390.29557782676,1041384.0519751128,1121774.3475529396
2024-12-13,52109.188165915315,1049017.7326053889,1101126.920771304
2024-12-16,130450.0536734378,963497.5892350583,1093947.642908496
2024-12-17,37481.77847235584,1053174.819601828,1090656.5980741838
2024-12-18,37481.77847235584,1058258.603470136,1095740.3819424917
2024-12-19,99236.31954769006,993933.4799185729,1093169.799466263
2024-12-20,104082.77745285233,989862.1249362193,1093944.9023890716
2024-12-23,154647.03751218968,941189.2801325998,1095836.3176447893
2024-12-24,91175.18716514632,1014122.6373240437,1105297.82448919
2024-12-25,107337.9482251463,1002256.0224381292,1109593.9706632756
2024-12-26,174846.10135445395,934376.8436394994,1109222.9449939532
2024-12-27,77945.70932533596,1030500.6797689388,1108446.3890942747
2024-12-30,66680.72132381017,1046988.9500578486,1113669.6713816589
2024-12-31,73274.13801575814,1030095.8899682182,1103370.0279839763
2025-01-02,30418.717029653486,1043368.8499641994,1073787.5669938528
2025-01-03,17733.296191946574,1041993.5607401414,1059726.856932088
2025-01-06,29198.69152329761,1029407.5903702251,1058606.2818935227
2025-01-07,10125.82690273368,1054300.4881833978,1064426.3150861314
2025-01-08,157462.2039052234,909863.9597460009,1067326.1636512242
2025-01-09,90766.77729018354,974424.034387907,1065190.8116780906
2025-01-10,101937.77367087724,948374.7912916325,1050312.5649625098
2025-01-13,68978.03559798302,971793.9016728703,1040771.9372708533
2025-01-14,57647.67373241998,1002511.9314540882,1060159.6051865083
2025-01-15,15960.327408176188,1039588.3308669472,1055548.6582751235
2025-01-16,18339.749974355727,1040122.8452773743,1058462.59525173
2025-01-17,23830.206673077475,1039439.6805856646,1063269.887258742
2025-01-20,121864.94000958843,935641.9610327166,1057506.901042305
2025-01-21,56971.95970834144,998337.6047523709,1055309.5644607123
2025-01-22,52988.277211379915,990632.744557851,1043621.021769231
2025-01-23,34083.194809167275,1010788.1059830027,1044871.30079217
2025-01-24,34137.56983946062,1017429.4418213585,1051567.0116608192
2025-01-27,55727.42462248889,994146.9447503225,1049874.3693728114
2025-02-05,36322.840304292484,1011133.1679503602,1047456.0082546527
2025-02-06,41650.87064548975,978958.6513203224,1020609.5219658122
2025-02-07,313652.9238264683,719236.5411876638,1032889.4650141321
2025-02-10,129879.59090558688,943000.9572222086,1072880.5481277956
2025-02-11,109990.97674957429,956003.9379617177,1065994.914711292
2025-02-12,57817.54225779862,1020673.3760679165,1078490.9183257152
2025-02-13,95553.44025101303,981647.4500316227,1077200.8902826356
2025-02-14,91339.56540208447,998143.0730253612,1089482.6384274457
2025-02-17,145415.1902133984,943002.9950712235,1088418.1852846218
2025-02-18,257060.2860314934,822092.4306212292,1079152.7166527226
2025-02-19,48576.20438078815,1033506.6375531252,1082082.8419339133
2025-02-20,48513.26740068491,1036766.0196068712,1085279.287007556
2025-02-21,19693.851460795493,1080279.1332531676,1099972.984713963
2025-02-24,26174.726623887364,1072394.40890332,1098569.1355272075
2025-02-25,114726.73920528487,972069.5104240834,1086796.2496293683
2025-02-26,9970.892227692155,1078507.9379131754,1088478.8301408675
2025-02-27,13048.844378232083,1076350.4855532472,1089399.3299314792
2025-02-28,47262.90885178857,1017917.8304019739,1065180.7392537624
2025-03-03,91950.3323210653,982081.1820861115,1074031.5144071768
2025-03-04,69657.7728831027,1004188.3063971034,1073846.079280206
2025-03-05,29982.436322918395,1049107.5641353934,1079090.0004583118
2025-03-06,14764.53131834804,1079642.7985588736,1094407.3298772217
2025-03-07,93645.16279629093,998722.6268156469,1092367.7896119377
2025-03-10,106707.78889681607,982363.1338390369,1089070.922735853
2025-03-11,75074.0861442206,1018115.3577951792,1093189.4439394
2025-03-12,65106.17681752153,1022654.922376198,1087761.0991937194
2025-03-13,32099.50313385335,1048780.9914451402,1080880.4945789936
2025-03-14,18897.5989251044,1082203.4936544108,1101101.0925795152
2025-03-17,42116.79317451382,1057897.2317129162,1100014.02488743
2025-03-18,41335.43168909181,1062160.6351947703,1103496.066883862
2025-03-19,52800.5730960438,1043883.542853519,1096684.1159495628
2025-03-20,45149.86204472307,1042017.3788488262,1087167.2408935493
2025-03-21,48600.70278030353,1025971.6513758609,1074572.3541561645
2025-03-24,41600.68406929227,1032961.1203810147,1074561.804450307
2025-03-25,16536.042680519946,1056465.3806589672,1073001.423339487
2025-03-26,169938.61932881075,898983.3529950567,1068921.9723238675
2025-03-27,45318.5527984855,1026533.4242223306,1071851.977020816
2025-03-28,26389.725717833157,1038839.5628548713,1065229.2885727044
2025-03-31,59152.5505500859,996407.1728957266,1055559.7234458125
2025-04-01,11778.818392622145,1049631.1569705168,1061409.9753631388
2025-04-02,82154.26210995413,976491.5490038883,1058645.8111138423
2025-04-03,15017.227174895692,1043849.8209917767,1058867.0481666722
2025-04-07,32396.985144850893,959513.0998855217,991910.0850303726
2025-04-08,9732.413954756952,1000219.0042843624,1009951.4182391193
2025-04-09,45506.55243257012,974102.5399980743,1019609.0924306444
2025-04-10,34820.68385226706,992205.0732994518,1027025.757151719
2025-04-11,62549.67384685844,964071.8341064123,1026621.5079532707
2025-04-14,82680.86817171358,944257.0088693318,1026937.8770410453
2025-04-15,59653.66302083341,965372.6264292296,1025026.289450063
2025-04-16,37503.2163218713,992398.3209538715,1029901.5372757427
2025-04-17,37503.2163218713,990690.5513614287,1028193.7676833
2025-04-18,286517.40486880037,740184.539658042,1026701.9445268423
2025-04-21,58218.36876151436,972005.2913059626,1030223.6600674769
2025-04-22,36839.850372085195,992889.6515906275,1029729.5019627127
2025-04-23,112418.2122708578,910374.4980050682,1022792.7102759259
2025-04-24,86786.87320404228,936487.9731825412,1023274.8463865835
2025-04-25,132559.93339717804,890573.2379730986,1023133.1713702767
2025-04-28,161061.27058191047,856920.724372447,1017981.9949543575
2025-04-29,101822.12976926529,912150.5581499394,1013972.6879192047
2025-04-30,68210.8675867779,943257.6467230421,1011468.51430982
2025-05-06,9264.651819885044,1009135.4113801431,1018400.0632000281
2025-05-07,9264.651819885044,1013271.5180908921,1022536.1699107771
2025-05-08,4032.74638531825,1021207.2469048463,1025239.9932901645
2025-05-09,109539.35733522745,912644.4486213666,1022183.8059565941
2025-05-12,134722.1275507398,892805.1376997266,1027527.2652504664
2025-05-13,71983.75734564585,957351.0988687768,1029334.8562144226
2025-05-14,26482.973772580066,1006535.8636692618,1033018.8374418418
2025-05-15,11739.385290995348,1013211.8230473772,1024951.2083383725
2025-05-16,47647.65277929535,974553.4911423473,1022201.1439216427
2025-05-19,21312.727024999735,998070.8123236456,1019383.5393486453
2025-05-20,21312.727024999735,1004485.6897562164,1025798.416781216
2025-05-21,90478.09750912653,937725.5582710664,1028203.6557801929
2025-05-22,57821.48987862868,968043.4564266177,1025864.9463052463
2025-05-23,22240.674041691316,995567.7745756633,1017808.4486173546
2025-05-26,26661.06015831131,987128.1887730557,1013789.248931367
2025-05-27,20949.318929713725,986318.9449983846,1007268.2639280983
2025-05-28,15495.089358809717,990393.2581376649,1005888.3474964746
2025-05-29,21766.087446042246,990052.4384502665,1011818.5258963087
2025-05-30,25621.720964249536,981063.6582091678,1006685.3791734173
2025-06-03,27887.797739049056,978989.9407165444,1006877.7384555935
2025-06-04,62950.43118962153,947874.5686484543,1010824.9998380758
2025-06-05,65315.29420790617,944918.735287884,1010234.0294957901
2025-06-06,41298.49821043706,968319.7262963126,1009618.2245067497
2025-06-09,302130.67371599126,715075.4529734022,1017206.1266893935
2025-06-10,203974.22923056508,809019.6813729136,1012993.9106034788
2025-06-11,90142.64542897917,930928.0338013323,1021070.6792303115
2025-06-12,35504.7716276035,988114.9539423329,1023619.7255699363
2025-06-13,37007.34923652368,977730.2016174047,1014737.5508539284
2025-06-16,49743.90888221687,965700.0326514816,1015443.9415336985
2025-06-17,22830.5596534634,994229.004755274,1017059.5644087375
2025-06-18,23614.61907792848,990187.8978942432,1013802.5169721717
2025-06-19,9535.407090772862,996264.3167771542,1005799.7238679271
2025-06-20,15060.228912773302,990513.5958876224,1005573.8248003958
2025-06-23,24848.097146074735,986804.5065766382,1011652.603722713
2025-06-24,71888.40562604333,951249.0869305211,1023137.4925565644
2025-06-25,71888.40562604333,965755.7228247508,1037644.1284507941
2025-06-26,43506.92025225089,992390.6514786832,1035897.5717309341
2025-06-27,151603.9107610952,882144.2799862467,1033748.190747342
2025-06-30,120010.89047144259,911819.0353752302,1031829.9258466728
2025-07-01,24373.41481569055,1008918.2367234785,1033291.6515391691
2025-07-02,94039.16033211957,937827.4513965084,1031866.6117286279
2025-07-03,31300.172093953588,1003181.4860685134,1034481.658162467
2025-07-04,145717.55487925358,889489.1691957671,1035206.7240750208
2025-07-07,97818.47649812674,932844.5975304313,1030663.0740285581
2025-07-08,97818.47649812674,945316.1115875087,1043134.5880856354
2025-07-09,88606.25577305013,952363.4190214663,1040969.6747945164
2025-07-10,89083.03854051503,964576.2709042748,1053659.3094447898
2025-07-11,79870.79871596704,970909.6648945509,1050780.463610518
2025-07-14,61130.96084016374,991331.3749116267,1052462.3357517903
2025-07-15,38475.177429249365,1018060.0495282728,1056535.226957522
2025-07-16,26616.64136172778,1024680.5310443038,1051297.1724060315
2025-07-17,13442.626567726562,1049946.103996503,1063388.7305642294
2025-07-18,89373.24759122045,980325.0718405951,1069698.3194318155
2025-07-21,125542.39768358448,953038.8902221655,1078581.2879057499
2025-07-22,55325.001137813975,1034984.6257040359,1090309.6268418499
2025-07-23,26371.3914602786,1067980.3849927334,1094351.776453012
2025-07-24,42694.990395302186,1064964.9132400674,1107659.9036353696
2025-07-25,118413.05642981251,986331.9430778507,1104744.9995076633
2025-07-28,33831.44012164444,1065029.937910893,1098861.3780325374
2025-07-29,58401.91106477776,1042266.7602595766,1100668.6713243544
2025-07-30,70744.29507107637,1026876.6620852376,1097620.957156314
2025-07-31,6796.603469761962,1070385.5709530201,1077182.1744227821
2025-08-01,6796.603469761962,1065959.5442515954,1072756.1477213574
2025-08-04,32031.977688133775,1026962.9201343831,1058994.897822517
2025-08-05,6889.799043249732,1059291.070124415,1066180.8691676648
2025-08-06,6889.799043249732,1062656.392939892,1069546.1919831417
2025-08-07,3458.4099231086097,1065711.4335227069,1069169.8434458154
2025-08-08,35120.476076198385,1029825.5843409159,1064946.0604171143
2025-08-11,9752.95058371323,1061698.0249524552,1071450.9755361683
2025-08-12,6858.206610257954,1068584.4192437124,1075442.6258539704
2025-08-13,5749.452644920844,1072771.1023258006,1078520.5549707215
2025-08-14,40470.17315704099,1033470.5381631019,1073940.711320143
2025-08-15,188548.55034769984,896555.8677032159,1085104.4180509157
2025-08-18,47912.02218390794,1060071.227704971,1107983.249888879
2025-08-19,15460.39757204324,1083313.0157705527,1098773.413342596
2025-08-20,48851.018878802264,1059610.1607602616,1108461.1796390638
2025-08-21,164274.6144597904,946248.1530187696,1110522.76747856
2025-08-22,101830.19972208078,1023980.3154666157,1125810.5151886966
2025-08-25,31955.00963544543,1104392.9745602983,1136347.9841957437
2025-08-26,10107.680430201799,1124765.9202455913,1134873.6006757931
2025-08-27,101147.10612475562,1011784.604837064,1112931.7109618196
2025-08-28,69513.36708416132,1051830.6133446964,1121343.9804288577
2025-08-29,184758.10719595422,937342.9715222416,1122101.078718196
2025-09-01,113948.71188059269,1005897.2457117372,1119845.95759233
2025-09-02,72691.29414384597,1037459.0247942895,1110150.3189381354
2025-09-03,12364.626455863563,1085893.1632261905,1098257.789682054
2025-09-04,47279.95097029991,1037841.810645885,1085121.7616161848
2025-09-05,10238.1226028453,1101819.8710478402,1112057.9936506855
2025-09-08,7738.6467141393005,1125844.2448536484,1133582.8915677876
2025-09-09,127428.89902178504,997131.8248511712,1124560.7238729564
2025-09-10,165126.84874600626,950033.9771363444,1115160.8258823506
2025-09-11,70046.3162152105,1056959.7337886356,1127006.0500038462
2025-09-12,82448.43081725735,1034889.0447144383,1117337.4755316956
2025-09-15,35882.455884643685,1079836.173390191,1115718.6292748346
2025-09-16,8876.363268045914,1104304.4999764368,1113180.8632444828
2025-09-17,14995.54956658883,1100802.399508412,1115797.9490750008
2025-09-18,73929.93225422205,1030542.9121905214,1104472.8444447434
2025-09-19,34127.04524213025,1071560.5712759718,1105687.6165181021
2025-09-22,37625.1301264395,1067298.1481040544,1104923.278230494
2025-09-23,31434.94185118244,1067201.1551155883,1098636.0969667707
2025-09-24,82461.42581952355,1033702.7883288856,1116164.2141484092
2025-09-25,53237.22653576176,1065542.2106540452,1118779.437189807
2025-09-26,53237.22653576176,1054119.623435237,1107356.8499709987
2025-09-29,48323.85089512986,1069926.5327297181,1118250.383624848
2025-09-30,34033.16766347794,1092171.666556958,1126204.834220436
2025-10-09,16803.70736994328,1130328.8533377796,1147132.560707723
2025-10-10,26077.34095344328,1104499.6826186362,1130577.0235720794
2025-10-13,16608.96431265221,1108246.600064409,1124855.564377061
2025-10-14,26255.955469862587,1097364.9945699014,1123620.950039764
2025-10-15,26255.955469862587,1116806.866949411,1143062.8224192737
2025-10-16,131314.47668159383,1017586.9984885609,1148901.4751701548
2025-10-17,253365.9594969604,873005.7928264921,1126371.7523234524
2025-10-20,75343.50000459718,1051427.4760955812,1126770.9761001784
2025-10-21,94193.19245287462,1046574.1564693138,1140767.3489221884
2025-10-22,263266.05967206985,869372.4731848637,1132638.5328569335
2025-10-23,17815.060744037084,1118852.1382138424,1136667.1989578796
2025-10-24,10212.596468503692,1125662.6545882681,1135875.2510567717
2025-10-27,19375.098200407745,1128834.5850905376,1148209.6832909454
2025-10-28,62321.002773678665,1079742.7028897034,1142063.705663382
2025-10-29,48840.64852656582,1112844.1707600574,1161684.8192866233
2025-10-30,19302.239471757464,1141065.4979206033,1160367.7373923608
2025-10-31,7094.587800897336,1139985.6784913614,1147080.2662922589
2025-11-03,5660.3612128845425,1144709.2434438576,1150369.6046567422
2025-11-04,36145.33446347037,1105129.1009680526,1141274.435431523
2025-11-05,170940.29297757294,971506.6557208141,1142446.948698387
2025-11-06,31526.706232197917,1120180.0019846132,1151706.708216811
2025-11-07,22777.438266966674,1132577.8345282334,1155355.2727952
2025-11-10,22777.438266966674,1146999.3367079669,1169776.7749749336
2025-11-11,34456.00331742437,1129119.7947446688,1163575.798062093
2025-11-12,240469.4765861452,911965.5842634387,1152435.060849584
2025-11-13,273628.3901656263,888762.594713133,1162390.9848787594
2025-11-14,134458.77212862088,1018763.6365831852,1153222.408711806
2025-11-17,33106.95760426043,1117042.0573698392,1150149.0149740996
2025-11-18,92198.19489167247,1047183.8496578888,1139382.044549561
2025-11-19,65766.31489285425,1074375.3180560165,1140141.6329488708
2025-11-20,164518.78956685425,972138.5823960461,1136657.3719629003
2025-11-21,4125.94002676238,1110036.7302480745,1114162.670274837
2025-11-24,68528.55664306237,1038935.9913836294,1107464.5480266917
2025-11-25,8113.811992726339,1105681.9517550615,1113795.7637477878
2025-11-26,55551.497487513254,1058725.1446015628,1114276.642089076
2025-11-27,55551.497487513254,1060805.3016934495,1116356.7991809628
2025-11-28,51725.45540243128,1064908.8531515785,1116634.3085540098
2025-12-01,34582.542193865476,1095171.3699240945,1129753.91211796
2025-12-02,28590.08105018622,1096782.5560689997,1125372.6371191859
2025-12-03,36723.830138007164,1084314.7726759273,1121038.6028139344
2025-12-04,34800.649420762566,1086022.3410225343,1120822.990443297
2025-12-05,28897.906049284204,1098939.2071246107,1127837.1131738948
2025-12-08,60324.32099724225,1074875.583727995,1135199.9047252373
2025-12-09,63505.07829796191,1057528.4081809055,1121033.4864788675
2025-12-10,100439.69213268696,1020671.9152701828,1121111.6074028697
2025-12-11,230220.5220367661,882951.1798903085,1113171.7019270747
2025-12-12,165500.83624095703,955187.0573294658,1120687.8935704227
2025-12-15,110767.64028308676,1013036.8208866293,1123804.461169716
2025-12-16,48318.55506362034,1066834.3486412335,1115152.903704854
2025-12-17,23758.015793133527,1110232.7627466843,1133990.7785398178
2025-12-18,57941.48872543989,1074321.0,1132262.4887254399
2025-12-19,10916.834468205396,1123368.0,1134284.8344682055
2025-12-22,15248.702913258614,1124275.0,1139523.7029132587
2025-12-23,61878.64494330922,1077923.0,1139801.6449433092
2025-12-24,175778.2207539092,965664.0,1141442.220753909
2025-12-25,139132.80514535223,1003645.0,1142777.8051453521
2025-12-26,90883.71918073828,1054968.0,1145851.7191807383
2025-12-29,45024.90046692586,1095091.0,1140115.900466926
2025-12-30,111919.73027831521,1030170.0,1142089.7302783153
2025-12-31,104589.7207117262,1037710.0,1142299.7207117262
