date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2024-07-04,000001.SZ,BUY,39100,9.542959344000643,373241.7095299537,626758.2904700462,,,
2024-07-04,601088.SH,BUY,5800,39.87685750465548,231355.96994129717,395402.320528749,,,
2024-07-04,600585.SH,BUY,6400,22.95711760666994,146969.83741817053,248432.4831105785,,,
2024-07-04,601166.SH,BUY,5800,15.83782468895801,91887.20743023309,156545.27568034542,,,
2024-07-04,601225.SH,BUY,2300,24.59124484304932,56577.396081448715,99967.87959889672,,,
2024-07-04,002475.SZ,BUY,900,38.39879007120139,34570.10738457554,65397.77221432118,,,
2024-07-04,002001.SZ,BUY,1300,18.59118696871988,24175.867556166846,41221.90465815434,,,
2024-07-05,600406.SH,BUY,600,23.910337318052385,14350.819210331749,26871.08544782259,,,
2024-07-05,600188.SH,BUY,600,15.65659172846136,9396.964576600014,17474.120871222574,,,
2024-07-05,601628.SH,BUY,200,28.97499927159209,5796.956941518978,11677.163929703596,,,
2024-07-05,600547.SH,BUY,100,28.740758843454035,2875.383717124751,8801.780212578846,,,
2024-07-05,600346.SH,BUY,200,13.587440826023391,2718.473957366878,6083.306255211968,,,
2024-07-05,601668.SH,BUY,400,5.127426789639925,2051.6520411653746,4031.6542140465936,,,
2024-07-05,600029.SH,BUY,200,5.815809999999999,1163.613541964116,2868.0406720824776,,,
2024-07-05,600837.SH,BUY,100,8.310583123513835,831.3795305535112,2036.6611415289663,,,
2024-07-08,000001.SZ,SELL,39100,9.21756846463872,,361975.0591038454,359938.3979623164,-13191.312388108752,-0.03535315473999676
2024-07-09,000063.SZ,BUY,4800,27.66810639794218,132847.4516197519,229127.6074840935,,,
2024-07-09,600009.SH,BUY,2500,33.08188990066224,82730.38685570116,146397.22062839233,,,
2024-07-10,600276.SH,BUY,1300,39.113842558966546,50864.39169525215,95532.82893314018,,,
2024-07-10,300014.SZ,BUY,1000,34.7723773371783,34783.07693563685,60749.75199750333,,,
2024-07-10,002714.SZ,BUY,500,41.52233702054793,20767.97243265425,39981.77956484908,,,
2024-07-10,600188.SH,SELL,600,14.079490370768179,,48418.491784820784,8436.712219971707,-957.2428171051088,-0.1018998721334077
2024-07-10,601857.SH,BUY,1800,9.527924816381036,17155.687500839776,31262.804283981008,,,
2024-07-10,601601.SH,BUY,400,27.114834513274335,10849.435213739302,20413.369070241708,,,
2024-07-10,600036.SH,BUY,200,31.38552895049128,6279.392070685537,14133.976999556171,,,
2024-07-10,600183.SH,BUY,200,22.091073002544523,4419.79759433633,9714.179405219842,,,
2024-07-11,601899.SH,BUY,100,18.353452496898978,1836.4332298130757,7877.746175406766,,,
2024-07-11,601398.SH,BUY,500,5.316538946525134,2659.1517743707473,5218.594401036019,,,
2024-07-12,601985.SH,BUY,100,10.831118659819028,1083.6963442731112,4134.898056762908,,,
2024-07-12,002475.SZ,SELL,900,40.650420128614385,,40672.71518096537,36537.81712420247,1978.9060601212186,0.057261817551247776
2024-07-12,601766.SH,BUY,2100,7.116890683229812,14950.025745512072,25722.6894354533,,,
2024-07-12,002714.SZ,SELL,500,40.82285908138598,,46107.58411774339,20384.894682290087,-376.2738279838777,-0.018123923410075553
2024-07-15,002714.SZ,BUY,400,42.453714687751805,16986.649886691954,29120.934231051437,,,
2024-07-15,002475.SZ,BUY,200,40.801480409856964,8163.557602712375,20957.37662833906,,,
2024-07-15,600009.SH,SELL,2500,33.6800152572593,,105047.95472190122,84090.57809356216,1385.8533419065643,0.016756640519244605
2024-07-15,002371.SZ,BUY,100,247.68506655077894,24780.2719398179,80267.68278208331,,,
2024-07-16,601088.SH,SELL,5800,39.13755436759777,,306970.4009542187,226702.7181721354,-4583.055354866374,-0.019815552357487817
2024-07-16,600547.SH,SELL,100,30.30358474428969,,309996.8199626309,3026.4190084122115,152.34312406680783,0.05300595050276668
2024-07-16,300014.SZ,SELL,1000,38.188948405245114,,348136.1227349492,38139.3027723183,3366.9254351400014,0.09682758824603334
2024-07-16,002594.SZ,BUY,1500,84.36147647544365,126581.20567327605,221554.9170616732,,,
2024-07-16,601006.SH,BUY,12600,6.533717278986192,82349.65168415745,139205.26537751575,,,
2024-07-16,601225.SH,SELL,2300,23.89774097964815,,194098.61538517734,54893.3500076616,-1666.5131313518432,-0.02946458917794531
2024-07-16,002352.SZ,BUY,2100,33.012788240600706,69348.59419093226,124750.02119424508,,,
2024-07-16,600809.SH,BUY,200,186.7805192370101,37370.07574742195,87379.94544682314,,,
2024-07-16,600029.SH,SELL,200,5.78421,,88535.28355222315,1155.3381053999997,-7.823894600000131,-0.0067264014814790475
2024-07-16,600406.SH,SELL,600,23.47502784439244,,102601.98973713999,14066.706184916839,-279.4962059145928,-0.019482243335226964
2024-07-16,600837.SH,SELL,100,8.441733524331376,,103445.06566421496,843.0759270749745,12.01761472359101,0.014460615512753319
2024-07-17,601607.SH,BUY,2000,18.954087832740985,37919.76142796264,65525.30423625231,,,
2024-07-17,601318.SH,BUY,600,38.42984957865168,23065.248527503827,42460.055708748485,,,
2024-07-17,600276.SH,SELL,1300,41.54824762785862,,96402.56108647361,53942.50537772512,3094.510051068617,0.060858054111847235
2024-07-17,601766.SH,SELL,2100,7.084028940004094,,111259.682461476,14857.121375002387,-88.34905978021743,-0.005911427155521488
2024-07-17,000538.SZ,BUY,800,49.01848756183769,39227.251042620446,72032.43141885556,,,
2024-07-17,600028.SH,BUY,4400,6.038202595498701,26576.158993412642,45456.27242544292,,,
2024-07-17,601211.SH,BUY,1200,13.368800029812922,16047.651100991583,29408.621324451335,,,
2024-07-17,601857.SH,SELL,1800,9.287965145782326,,46105.22474841839,16696.60342396706,-453.66124551880785,-0.02645214253316872
2024-07-17,600183.SH,SELL,200,22.134230381679387,,50526.31592485503,4421.09117643664,2.8765759277357574,0.0006510720252032176
2024-07-18,601628.SH,SELL,200,31.520501610673403,,56822.220916570936,6295.904991715905,500.9051373974871,0.08643747195683085
