Strategy,Annual Return(%),Max Drawdown(%),Sharpe Ratio,Win Rate(%)
iTransformer (Ours),8.585990704813561,17.00822402010683,0.3139507064271335,51.11111111111111
MA Crossover,12.457214619777467,41.30452655481262,0.5157623328756873,34.22022760057701
Buy & Hold,12.533859572341033,45.42148819410758,0.5636569852632295,0.0
