,股票代码,数据条数,起始日期,结束日期,平均收盘价,收盘价标准差,平均日收益率(%),收益率标准差(%),平均成交量,平均换手率(%),最大涨幅(%),最大跌幅(%)
0,000001.SZ,2430,2016-01-04,2025-12-31,10.725582652906766,2.980273323956668,0.01980790123456791,1.7263215012686377,904704.4854074074,0.0,7.1735,-7.0758
1,000063.SZ,2359,2016-01-04,2025-12-31,27.24384897834176,8.229880862194848,0.020710343365832974,2.235164336616577,704256.2353030945,0.0,7.3512,-7.35
2,000100.SZ,2264,2016-01-04,2025-12-31,3.9845021964699217,1.318600043993599,0.008844081272084805,2.0416686140611486,872417.995538869,0.0,7.07,-7.3
3,000333.SZ,2380,2016-01-04,2025-12-31,47.945437568996326,16.998476193780533,0.09695365546218487,1.8966104156319408,311697.74048739497,0.0,7.3245,-6.78
4,000423.SZ,2430,2016-01-04,2025-12-31,41.266059722097964,9.762589575927505,0.010529465020576138,1.860364086898436,66422.99282716049,0.0,7.2301,-7.2246
5,000538.SZ,2266,2016-01-04,2025-12-31,51.90590639601058,8.930890551803078,-0.007694571932921449,1.6438023150621355,64749.61943512797,0.0,7.2231,-7.3333
6,000568.SZ,2412,2016-01-04,2025-12-31,113.3656726578744,67.7084759103252,0.08485132669983417,2.27224393046562,111379.12839966832,0.0,7.35,-7.2772
7,000651.SZ,2273,2016-01-04,2025-12-31,32.917101805787134,8.178463580079175,0.04265736911570611,1.7416099192516838,493123.09108227014,0.0,7.28,-7.2868
8,000661.SZ,2415,2016-01-04,2025-12-31,154.9629534615986,105.17718053839579,0.014696728778467925,2.2309648311673618,43518.989979296064,0.0,7.3396,-7.3534
9,000725.SZ,2430,2016-01-04,2025-12-31,3.8128828299399697,0.9304546386991069,0.02583181069958848,1.8690383392488625,687369.4857695472,0.0,7.3507,-7.3724
10,000776.SZ,2430,2016-01-04,2025-12-31,14.12504404482409,2.6449892685701775,0.01147884773662551,1.7465753035222755,487889.4285967078,0.0,7.291,-6.5
11,000858.SZ,2430,2016-01-04,2025-12-31,114.946671444173,62.3507441959687,0.08229625514403294,2.072595550570272,241078.20164609054,0.0,7.34,-7.3696
12,000876.SZ,2387,2016-03-02,2025-12-31,12.934492909106043,6.750122164573845,-0.036150481776288226,1.9018227594208206,355262.49248847924,0.0,7.3458,-7.1144
13,000895.SZ,2415,2016-01-04,2025-12-31,21.614863348126146,6.446092722825965,0.04596923395445135,1.7576565315385193,131679.16291925465,0.0,7.2857,-7.1923
14,000963.SZ,2430,2016-01-04,2025-12-31,30.076351115331132,8.511539959979837,0.033426296296296294,2.094246021913471,146842.14455144032,0.0,7.1664,-7.1995
15,001979.SZ,2414,2016-01-04,2025-12-31,12.39882474380061,2.589297985407685,-0.014476014913007455,2.044119230900508,388083.96035211266,0.0,7.2633,-7.35
16,002001.SZ,2426,2016-01-04,2025-12-31,15.268681307551873,5.90875243681894,0.06994101401483924,2.0292212810767802,212463.46410964555,0.0,7.34,-7.3653
17,002007.SZ,2430,2016-01-04,2025-12-31,21.13764009502207,9.187667676853465,0.04360683127572016,1.9951829751946635,149967.3221893004,0.0,7.3525,-6.943
